Model,Country of origin,Engines[a],First flight,Airline service entry,Range (km),Wingspan (m),Height (m),Length (m),Empty Weight (kg),Cruising Speed (km/h),MTOW (kg),Dif.Mtow.Ew (Elephants),Max Passengers,Maximum Fuel (US Gal),Liters,Litre/KM,Litre/100km/seat,Base Price $Million Inflation adjusted,Number of flights needed to recoup base costs at the average cost of a flight ticket,Cost Per KM Per Passenger,Lifetime Flight Cycles,Price per Flight Cycle,Price per Flight Cycle per Passenger
Airbus A380-841,:eu:,4,2005,2007,"14,800",80,24,73,"284,856",950.00,"575,155",53,853,83572.6866,"316,357",21.37546511,2.51,"$571,950,935.88","1,720",$0.45,"19,000","$30,102.68",$35.29
Boeing 747-100,:us:,4,1969,1970,"14,320",68,19,76,"220,128",908.00,"447,696",42,467,"63,034","238,610",16.66267695,3.57,"$199,360,824.74","1,824",$0.30,,#DIV/0!,#DIV/0!
McDonnell Douglas MD-11,:us:,3,1990,1990,"12,455",52,18,61,"128,808",886.00,"273,294",27,410,"38,615","146,174",11.73613867,2.86,"$320,573,833.21","2,130",$0.63,"45,000","$7,123.86",$17.38
Airbus A330neo-841,:eu:,2,2017,2018,"15,000",64,17,58,"131,995",918.00,"250,837",22,406,"36,740","139,076",9.271730893,2.28,"$333,595,260.85","2,423",$0.55,"75,000","$4,447.94",$10.96
Airbus A330-200,:eu:,2,1992,1994,"13,450",60,17,59,"120,600",871.00,"242,000",22,406,"36,740","139,076",10.34022033,2.55,"$237,349,693.25","1,450",$0.43,"20,000","$11,867.48",$29.23
McDonnell Douglas DC-10/MD-10,:us:,3,1970,1971,"6,500",47,18,56,"108,840",876.00,"195,045",16,399,"21,762","82,378",12.67355268,3.18,"$139,265,432.10","1,453",$0.54,,#DIV/0!,#DIV/0!
Boeing 787 Dreamliner-8,:us:,2,2009,2011,"13,530",60,17,57,"120,000",903.00,"227,900",20,359,"33,340","126,206",9.32783218,2.60,"$248,760,250.84","1,596",$0.51,"44,000","$5,653.64",$15.75
Ilyushin Il-86,:su:,4,1976,1980,"5,000",48,16,60,"117,480",871.00,"215,003",18,350,28358.209,"107,347",21.46948959,6.13,"$136,899,271.84","1,475",$0.78,,#DIV/0!,#DIV/0!
Airbus A300B4-200,:eu:,2,1972,1974,"5,375",45,17,54,"88,505",917.00,"165,000",14,345,15948.9552,"60,373",11.23224828,3.26,"$156,900,608.52","1,996",$0.85,,#DIV/0!,#DIV/0!
Airbus A350 XWB,:eu:,2,2013,2014,"15,750",65,17,67,"115,700",903.00,"283,000",31,315,"44,000","166,558",10.57511365,3.36,"$366,497,257.38","2,793",$0.74,"75,000","$4,886.63",$15.51
Boeing 777-200,:us:,2,1994,1995,"9,700",61,19,64,"135,850",892.00,"247,200",20,313,"31,000","117,348",12.09770206,3.87,"$270,698,162.73","2,155",$0.89,"30,000","$9,023.27",$28.83
Airbus A340 (200),:eu:,4,1991,1993,"13,500",60,17,59,"117,934",871.00,"274,877",29,303,36327.6119,"137,515",10.18628929,3.36,"$234,197,231.83","1,936",$0.57,"45,000","$5,204.38",$17.18
Ilyushin Il-96-300,:ru:,4,1988,1992,"10,000",60,18,55,"120,292",870.00,"249,929",24,300,"40,322","152,635",15.2635302,5.09,"$149,319,315.75","1,397",$0.50,"20,000","$7,465.97",$24.89
Douglas DC-8,:us:,4,1958,1959,"6,960",45,13,43,"57,302",895.00,"161,028",19,259,"23,393","88,552",12.72300232,4.91,"$55,378,006.87",-,$0.31,,#DIV/0!,#DIV/0!
Lockheed L-1011 TriStar (-1),:us:,3,1970,1972,"4,963",47,17,54,"110,000",963.00,"200,000",17,256,"23,814","90,146",18.1635611,7.10,"$154,210,526.32","2,516",$1.21,,#DIV/0!,#DIV/0!
Boeing 757,:us:,2,1982,1983,"7,250",38,14,47,"58,440",854.00,"115,660",11,239,"11,489","43,491",5.998700068,2.51,"$113,258,032.13","1,471",$0.65,"75,000","$1,510.11",$6.32
Airbus A310-200,:eu:,2,1982,1983,"6,500",44,16,47,"77,564",850.00,"144,000",12,237,15774.4776,"59,713",9.186594654,3.88,"$129,437,751.00","1,695",$0.84,"45,000","$2,876.39",$12.14
Airbus A320,:eu:,2,1987,1988,"6,200",36,12,38,"42,592",829.00,"78,018",7,230,"7,200","27,255",4.39596,1.91,"$95,355,029.59","1,226",$0.67,"75,000","$1,271.40",$5.53
Tupolev Tu-204-100,:ru:,2,1989,1996,"4,300",42,14,46,"56,500",850.00,"104,780",9,210,11791.0448,"44,634",10.37998579,4.94,"$71,896,112.17",866,$0.80,"45,000","$1,597.69",$7.61
