States + DC,Count,# of Records,Total $,Average Contribution per Record,% of Total Races,% of Total Records,% of Total $,Alabama _Ivey_2022,# of Records,Total $,Alaska _Dunleavy_2022,# of Records,Total $,Arizona _Hobbs_2022,# of Records,Total $,Arkansas _Huckabee_Sanders_2022,# of Records,Total $,California _Newsom_2022,# of Records,Total $,Colorado _Polis_2022,# of Records,Total $,Connecticut _Lamont_2022,# of Records,Total $,Delaware _Meyer_2024,# of Records,Total $,Florida _DeSantis_2022,# of Records,Total $,Georgia _Kemp_2022,# of Records,Total $,Hawaii _Green_2022,# of Records,Total $,Idaho _Little_2022,# of Records,Total $,Illinois _Pritzker_2022,# of Records,Total $,Indiana _Braun_2024,# of Records,Total $,Iowa _Reynolds_2022,# of Records,Total $,Kansas _Kelly_2022,# of Records,Total $,Kentucky _Beshear_2023,# of Records,Total $,Louisiana _Landry_2023,# of Records,Total $,Maine _Mills_2022,# of Records,Total $,Maryland _Moore_2022,# of Records,Total $,Massachusetts _Healey_2022,# of Records,Total $,Michigan _Whitmer_2022,# of Records,Total $,Minnesota _Walz_2022,# of Records,Total $,Mississippi _Reeves_2023,# of Records,Total $,Missouri _Parson_2020,# of Records,Total $,Montana _Gianforte_2024,# of Records,Total $,Nebraska _Pillen_2022,# of Records,Total $,Nevada _Lombardo_2022,# of Records,Total $,New Hampshire _Ayotte_2024,# of Records,Total $,New Jersey _Murphy_2021,# of Records,Total $,New Mexico _Lujan_Grisham_2022,# of Records,Total $,New York _Hochul_2022,# of Records,Total $,North Carolina _Cooper_2020,# of Records,Total $,North Dakota _Armstrong_2024,# of Records,Total $,Ohio _DeWine_2022,# of Records,Total $,Oklahoma _Stitt_2022,# of Records,Total $,Oregon _Kotek_2022,# of Records,Total $,Pennsylvania _Shapiro_2022,# of Records,Total $,Rhode Island _McKee_2022,# of Records,Total $,South Carolina _McMaster_2022,# of Records,Total $,South Dakota _Noem_2022,# of Records,Total $,Tennessee _Lee_2022,# of Records,Total $,Texas _Abbott_2022,# of Records,Total $,Utah _Cox_2024,# of Records,Total $,Vermont _Scott_2024,# of Records,Total $,Virginia _Youngkin_2021,# of Records,Total $,Washington _Ferguson_2024,# of Records,Total $,West Virginia _Morrisey_2024,# of Records,Total $,Wisconsin _Evers_2022,# of Records,Total $,Wyoming _Gordon_2022,# of Records,Total $
AK,33,8492,2053740,241.8440886,66%,0.30%,0.15%,,,,AK,"5,047","$1,889,188",AK,340,"$18,266",AK,188,"$11,306",AK,9,$575,AK,4,$227,,,,,,,AK,554,"$16,704",AK,12,$954,,,,AK,1,"$1,000",,,,,,,AK,46,"$1,302",AK,19,"$2,980",AK,3,$800,AK,2,$85,AK,8,$825,AK,10,$325,AK,2,$100,AK,308,"$15,197",AK,1,"$2,900",,,,AK,1,$25,AK,4,$600,,,,,,,,,,,,,AK,47,"$19,323",AK,2,$85,AK,32,"$1,614",,,,AK,1,$500,,,,AK,2,"$1,250",AK,54,"$4,919",AK,1,"$1,000",AK,1,$50,AK,188,"$12,217",,,,AK,"1,162","$30,130",,,,,,,AK,70,"$3,275",AK,7,"$3,900.00",AK,49,"$1,800",AK,317,"$10,318",,,
AL,40,12303,9791754,795.8834431,80%,0.43%,0.72%,AL,"1,513","$8,215,144",,,,AL,442,"$18,526",AL,965,"$140,027",AL,13,"$31,450",AL,2,$45,,,,,,,AL,"2,341","$339,512",AL,108,"$233,304",,,,AL,2,"$5,000",,,,AL,3,"$2,200",AL,126,"$3,943",AL,39,"$2,309",AL,25,"$17,476",AL,39,"$61,877",AL,5,"$1,030",AL,52,"$10,913",AL,11,"$3,018",AL,728,"$19,695",AL,19,"$2,750",AL,47,"$198,000.00",AL,3,"$7,800",AL,7,"$5,480",AL,1,"$1,500",AL,6,"$6,770",AL,1,$100,,,,AL,48,"$28,329",AL,11,$221,AL,97,"$10,581",,,,AL,5,"$5,700",AL,3,$750,AL,1,$50,AL,115,"$6,417",,,,AL,7,"$10,555",AL,401,"$76,202",AL,21,"$51,400",AL,"4,119","$159,989",AL,2,"$10,104",,,,AL,186,"$83,466",AL,2,$275.00,AL,130,"$6,603",AL,657,"$13,243",,,
AR,44,26830,12896940,480.6910175,88%,0.94%,0.95%,AR,2,"$27,500",AR,1,$25,AR,367,"$13,555",AR,"20,809","$11,338,113",AR,7,$475,AR,8,$400,,,,,,,AR,"1,008","$127,461",AR,24,"$79,450",AR,2,$500,AR,3,"$10,000",,,,AR,2,"$100,000",AR,110,"$51,858",AR,30,"$6,860",AR,132,"$12,501",AR,73,"$66,940",AR,8,"$3,375",AR,42,"$6,234",AR,7,$157,AR,412,"$37,197",AR,1,$500,AR,18,"$36,750.00",AR,2,"$1,000",AR,1,$500,AR,11,"$61,000",AR,1,"$5,000",AR,1,"$5,000",,,,AR,47,"$34,835",AR,10,"$13,153",AR,47,"$8,670",AR,3,"$28,000",AR,11,"$50,461",AR,71,"$104,668",,,,AR,112,"$31,598",AR,16,"$11,009",AR,6,"$10,000",AR,303,"$126,153",AR,3,"$4,500",AR,"2,548","$292,896",AR,2,"$7,500",,,,AR,72,"$144,927",AR,4,"$4,800.00",AR,85,"$3,651",AR,406,"$25,768",AR,2,"$2,000"
AZ,47,77917,11642932,149.427365,94%,2.74%,0.86%,AZ,5,$66,AZ,14,"$10,040",AZ,"50,647","$7,779,474",AZ,"2,237","$252,338",AZ,77,"$171,086",AZ,49,"$1,330",AZ,8,$778,AZ,13,"$8,800",AZ,"5,027","$1,399,485",AZ,74,"$69,240",AZ,9,"$20,370",AZ,20,"$60,220",,,,AZ,15,"$74,578",AZ,379,"$48,433",AZ,239,"$23,601",AZ,44,"$20,455",AZ,51,"$11,764",AZ,115,"$8,377",AZ,159,"$26,825",AZ,19,"$1,895",AZ,"2,888","$125,071",AZ,46,"$15,180",AZ,6,"$86,000.00",,,,AZ,28,"$23,090",AZ,7,"$27,990",AZ,49,"$63,225",AZ,9,"$38,000",AZ,3,"$8,400",AZ,444,"$169,768",AZ,71,"$33,521",AZ,198,"$6,522",AZ,2,"$2,000",AZ,12,"$28,010",AZ,10,"$7,729",AZ,33,"$10,505",AZ,707,"$75,995",AZ,4,"$3,500",AZ,42,"$21,835",AZ,"1,758","$191,786",AZ,3,"$4,000",AZ,"8,799","$540,424",AZ,2,$937,,,,AZ,446,"$48,173",AZ,88,"$15,235.00",AZ,448,"$14,984",AZ,"2,618","$91,195",AZ,16,"$10,280"
CA,49,225440,59613350.03,264.4311126,98%,7.94%,4.41%,CA,16,$367,CA,12,$425,CA,"38,936","$2,511,943",CA,"9,986","$796,231",CA,"25,739","$19,390,893",CA,316,"$14,336",CA,60,"$18,045",CA,192,"$28,123",CA,"20,265","$6,601,728",CA,163,"$264,919",CA,231,"$314,854",CA,29,"$46,585",,,,CA,14,"$53,494",CA,"1,297","$86,072",CA,"2,197","$443,375",CA,467,"$189,644",CA,241,"$78,827",CA,"1,061","$237,311",CA,"1,848","$749,904",CA,314,"$76,153",CA,"32,830","$3,697,434",CA,460,"$180,650",CA,26,"$107,250.00",CA,24,"$43,564",CA,119,"$72,100",CA,12,"$35,500",CA,250,"$505,651",CA,19,"$60,900",CA,88,"$302,700",CA,"2,900","$894,578",CA,"1,026","$1,518,897",CA,"2,794","$707,224",CA,2,"$25,250",CA,73,"$165,675",CA,75,"$37,168",CA,466,"$2,092,154",CA,"9,567","$8,261,114",CA,35,"$17,368",CA,153,"$49,003",CA,"5,482","$524,863",CA,23,"$49,200",CA,"33,164","$4,523,188",CA,32,"$231,031",CA,3,"$1,250",CA,"2,414","$555,590",CA,389,"$154,823.03",CA,"1,768","$118,815",CA,"28,105","$2,819,624",CA,9,"$3,725"
CO,47,39600,17319820,437.3691919,94%,1.39%,1.28%,,,,CO,5,"$3,850",CO,"3,600","$249,979",CO,"1,446","$145,406",CO,95,"$168,862",CO,"12,160","$13,103,293",CO,8,"$3,853",CO,9,"$7,400",CO,"3,887","$364,175",CO,39,"$79,808",CO,32,"$24,000",CO,44,"$70,050",,,,CO,2,"$1,100",CO,225,"$37,119",CO,459,"$164,810",CO,159,"$24,960",CO,42,"$49,639",CO,94,"$30,749",CO,164,"$32,168",CO,75,"$20,730",CO,"3,530","$649,731",CO,55,"$21,526",CO,5,"$3,000.00",CO,9,"$9,050",CO,23,"$19,670",CO,14,"$27,000",CO,8,"$28,150",CO,5,"$12,600",CO,5,"$13,300",CO,588,"$307,120",CO,108,"$155,300",CO,310,"$35,157",CO,4,"$58,000",CO,12,"$18,325",CO,21,"$23,741",CO,49,"$50,045",CO,726,"$293,174",CO,3,"$2,000",CO,59,"$8,543",CO,"1,417","$147,173",CO,3,"$11,400",CO,"6,283","$370,226",CO,17,"$143,618",,,,CO,402,"$63,517",CO,35,"$7,137.00",CO,310,"$27,149",CO,"3,043","$222,124",CO,28,"$21,346"
CT,44,16491,4271814.26,259.039128,88%,0.58%,0.32%,,,,,,,CT,"2,134","$134,470",CT,774,"$105,137",CT,52,"$88,334",CT,20,"$1,155",CT,"4,397","$3,560,069",CT,29,"$8,262",CT,"1,999","$635,370",CT,61,"$139,439",CT,7,"$18,500",,,,,,,CT,9,"$31,300",CT,109,"$1,982",CT,177,"$32,400",CT,103,"$90,732",CT,21,"$19,380",CT,256,"$30,636",CT,414,"$163,507",CT,171,"$84,133",CT,"2,811","$225,726",CT,45,"$9,835",CT,1,"$5,000.00",CT,10,"$6,500",CT,8,"$6,080",,,,CT,10,"$10,515",CT,24,"$52,343",CT,30,"$80,250",CT,173,"$85,481",CT,321,"$841,164",CT,449,"$183,210",,,,CT,22,"$29,322",CT,3,"$1,800",CT,9,"$15,300",CT,928,"$242,407",CT,69,"$29,828",CT,6,"$6,555",CT,413,"$39,658",CT,4,"$12,550",CT,"2,537","$200,965",CT,2,$202,CT,2,$550,CT,191,"$392,247",CT,14,"$7,030.26",CT,99,"$4,859",CT,"2,001","$199,962",CT,2,"$6,000"
DC,50,12834,93535920.93,7288.134715,100%,0.45%,6.93%,DC,8,"$2,027,500",DC,1,$500,DC,"1,728","$248,348",DC,100,"$72,230",DC,57,"$324,917",DC,52,"$2,721",DC,13,"$11,306",DC,119,"$59,903",DC,375,"$24,195,315",DC,100,"$11,114,459",DC,39,"$57,195",DC,21,"$58,601",DC,8,"$39,138",DC,24,"$1,588,000",DC,79,"$130,967",DC,470,"$248,042",DC,191,"$154,854",DC,33,"$62,133",DC,351,"$155,057",DC,"1,446","$914,526",DC,281,"$96,206",DC,"1,854","$774,979",DC,173,"$101,432",DC,32,"$1,094,812.93",DC,16,"$18,650",DC,9,"$8,590",DC,11,"$19,750",DC,24,"$50,191",DC,49,"$2,808,687",DC,81,"$253,926",DC,231,"$593,113",DC,285,"$1,214,145",DC,664,"$252,639",DC,14,"$128,394",DC,135,"$364,744",DC,38,"$75,318",DC,125,"$9,796,979",DC,936,"$13,703,770",DC,22,"$13,819",DC,42,"$75,489",DC,69,"$2,939,921",DC,20,"$78,700",DC,391,"$4,345,575",DC,32,"$361,123",DC,3,"$6,250",DC,309,"$11,401,168",DC,59,"$43,230.00",DC,24,"$19,306",DC,"1,807","$1,465,011",DC,15,"$35,500"
DE,37,4035,1010655,250.472119,74%,0.14%,0.07%,,,,,,,DE,343,"$14,673",DE,193,"$12,838",DE,6,"$25,500",DE,1,$100,DE,1,$11,DE,"4,196","$2,664,431",DE,644,"$580,395",DE,9,"$25,800",DE,13,"$22,100",,,,,,,DE,1,"$2,500",DE,33,"$4,563",DE,34,"$3,367",DE,5,$925,DE,5,$300,DE,27,"$2,920",DE,137,"$53,124",DE,6,"$2,100",DE,547,"$17,597",,,,DE,1,"$1,000.00",,,,DE,3,$750,,,,DE,5,"$20,200",DE,1,$250,DE,4,"$8,400",DE,39,"$1,562",DE,41,"$45,948",DE,47,"$15,684",,,,DE,8,"$10,600",DE,1,"$2,000",DE,4,"$5,900",DE,343,"$45,615",,,,DE,4,$118,DE,96,"$8,357",,,,DE,851,"$44,589",DE,1,"$3,000",,,,DE,103,"$5,743",,,,DE,43,$673,DE,436,"$21,464",,,
FL,49,288938,141131867.7,488.4503517,98%,10.17%,10.45%,FL,32,"$59,121",FL,17,"$15,730",FL,"6,147","$241,506",FL,"6,825","$1,166,151",FL,198,"$363,641",FL,69,"$2,536",FL,45,"$28,199",FL,69,"$59,220",FL,"216,120","$123,647,161",FL,385,"$1,368,350",FL,20,"$47,000",FL,4,"$13,500",,,,FL,60,"$442,069",FL,"1,129","$259,452",FL,394,"$74,960",FL,346,"$303,504",FL,129,"$102,069",FL,452,"$108,992",FL,757,"$395,238",FL,221,"$99,372",FL,"9,322","$571,434",FL,177,"$75,645",FL,40,"$294,100.00",FL,48,"$99,950",FL,100,"$67,252",FL,6,"$33,500",FL,97,"$229,009",FL,117,"$289,445",FL,105,"$305,900",FL,465,"$173,738",FL,558,"$2,122,729",FL,"1,225","$362,348",FL,4,"$32,000",FL,113,"$355,769",FL,86,"$140,828",FL,29,"$28,308",FL,"2,606","$1,745,126",FL,88,"$56,666",FL,214,"$210,644",FL,"3,693","$602,666",FL,69,"$160,071",FL,"25,792","$2,504,134",FL,10,"$41,114",FL,14,"$7,000",FL,"2,511","$1,448,832",FL,55,"$22,546.72",FL,"1,636","$131,559",FL,"6,446","$304,867",FL,7,"$4,335"
